Test,Trial type,Word,Sentence,Domain,,,,,
A,benign,Fireworks,A loud noise is heard at night,gad,,,,,
A,negative,Robber,A loud noise is heard at night,gad,,,,,
A,benign,Fog,The air is not clear and it is hard to see,gad,,,,,
A,negative,Pollution,The air is not clear and it is hard to see,gad,,,,,
A,negative,Hospital,The chest was opened slowly,gad,,,,,
A,benign,Treasure,The chest was opened slowly,gad,,,,,
A,benign,Paintball,The guns are really loud,gad,,,,,
A,negative,War ,The guns are really loud,gad,,,,,
A,benign,Cheap,The plumber sends you the bill,gad,,,,,
A,negative,Expensive,The plumber sends you the bill,gad,,,,,
A,negative,Fight,You and your partner start yelling,gad,,,,,
A,benign,Sports ,You and your partner start yelling,gad,,,,,
A,negative,Pills,You cannot fall asleep,gad,,,,,
A,benign,Relaxation,You cannot fall asleep,gad,,,,,
A,negative,Earthquake,You feel vibration,gad,,,,,
A,benign,Music,You feel vibration,gad,,,,,
A,benign,Birth,You go to the hospital to visit your friend,gad,,,,,
A,negative,Dying,You go to the hospital to visit your friend,gad,,,,,
A,negative,Paycut,You have a change in salary,gad,,,,,
A,benign,Raise,You have a change in salary,gad,,,,,
A,negative,Problem,You hear a funny noise in your car,gad,,,,,
A,benign,Radio,You hear a funny noise in your car,gad,,,,,
A,negative,Owe,You receive a letter from the IRS,gad,,,,,
A,benign,Refund,You receive a letter from the IRS,gad,,,,,
A,negative,Bomb,You see a big flash of light,gad,,,,,
A,benign,Camera,You see a big flash of light,gad,,,,,
A,benign,Calm,Your advisor examines your schedule for next year,gad,,,,,
A,negative,Worried,Your advisor examines your schedule for next year,gad,,,,,
A,negative,Kidnapped,Your child does not sleep at home tonight,gad,,,,,
A,benign,Sleepover,Your child does not sleep at home tonight,gad,,,,,
A,negative,Lost,Your dog does not return home,gad,,,,,
A,benign,Playing,Your dog does not return home,gad,,,,,
A,negative,Crisis,Your heart is beating very quickly,gad,,,,,
A,benign,Excited,Your heart is beating very quickly,gad,,,,,
A,negative,Fire,Your house smells unusual,gad,,,,,
A,benign,Flower,Your house smells unusual,gad,,,,,
A,negative,Criticize,Your parents talk to you about your grades,gad,,,,,
A,benign,Praise,Your parents talk to you about your grades,gad,,,,,
A,benign,Get refund,Your taxes are due,gad,,,,,
A,negative,Procrastinate,Your taxes are due,gad,,,,,
A,negative,Mocked,A coworker begins saying the same phrases you do,sad,,,,,
A,benign,Respected,A coworker begins saying the same phrases you do,sad,,,,,
A,benign,Distracted,A friend does not respond when you wave hello,sad,,,,,
A,negative,Mad,A friend does not respond when you wave hello,sad,,,,,
A,benign,Cool,Colleagues found your views unusual,sad,,,,,
A,negative,Weird,Colleagues found your views unusual,sad,,,,,
A,benign,Distracted,In an interview   the people do not smile ,sad,,,,,
A,negative,Mad,In an interview  the people do not smile ,sad,,,,,
A,benign,Smart,People believe you have to think about stuff for a long time,sad,,,,,
A,negative,Stupid,People believe you have to think about stuff for a long time,sad,,,,,
A,negative,Embarassing,People laugh after something you said,sad,,,,,
A,benign,Funny,People laugh after something you said,sad,,,,,
A,benign,Admire,Someone introduces themselves to you,sad,,,,,
A,negative,Pity,Someone introduces themselves to you,sad,,,,,
A,negative,Clumsy,Someone you do not know asks you to dance,sad,,,,,
A,benign,Graceful,Someone you do not know asks you to dance,sad,,,,,
A,benign,Distracted,While returning a jacket  the clerk is abrupt,sad,,,,,
A,negative,Mad,While returning a jacket  the clerk is abrupt,sad,,,,,
A,negative,Stay close,You are at a party with a friend,sad,,,,,
A,benign,Venture out,You are at a party with a friend,sad,,,,,
A,negative,Cancel,You are going on a trip and feel jittery,sad,,,,,
A,benign,Excited,You are going on a trip and feel jittery,sad,,,,,
A,negative,Avoid,You are invited to a party,sad,,,,,
A,benign,Fun,You are invited to a party,sad,,,,,
A,benign,Good-looking,You are on a first date,sad,,,,,
A,negative,Hideous,You are on a first date,sad,,,,,
A,negative,Look away,You are standing next to an attractive person,sad,,,,,
A,benign,Smile,You are standing next to an attractive person,sad,,,,,
A,benign,Clever,You ask for assistance from you professor,sad,,,,,
A,negative,Dense,You ask for assistance from you professor,sad,,,,,
A,negative,Clumsy,You carry a tray of food at a party,sad,,,,,
A,benign,Graceful,You carry a tray of food at a party,sad,,,,,
A,benign,Smart,You finish last of everyone on an intelligence test,sad,,,,,
A,negative,Stupid,You finish last of everyone on an intelligence test,sad,,,,,
A,negative,Disliked,You have to throw a party for the office,sad,,,,,
A,benign,Well-liked,You have to throw a party for the office,sad,,,,,
A,benign,Smart,You just finished taking an oral exam,sad,,,,,
A,negative,Stupid,You just finished taking an oral exam,sad,,,,,
A,benign,Cool,You laugh differently than other people,sad,,,,,
A,negative,Weird,You laugh differently than other people,sad,,,,,
A,benign,Good-looking,You notice someone pointing in your direction,sad,,,,,
A,negative,Hideous,You notice someone pointing in your direction,sad,,,,,
A,benign,Accepted,You receive a call from a company you interviewed with,sad,,,,,
A,negative,Rejection,You receive a call from a company you interviewed with,sad,,,,,
A,benign,Clever,You share an idea with someone,sad,,,,,
A,negative,Dense,You share an idea with someone,sad,,,,,
A,negative,Embarassing,You spill a little water on your shirt at dinner,sad,,,,,
A,benign,Funny,You spill a little water on your shirt at dinner,sad,,,,,
A,benign,Fan,You start to sweat at a party,sad,,,,,
A,negative,Go home,You start to sweat at a party,sad,,,,,
A,negative,Avoid,Your boss calls you into his office,sad,,,,,
A,benign,Enter,Your boss calls you into his office,sad,,,,,
A,benign,Excited,Your breathing is different than usual,sad,,,,,
A,negative,Panicky,Your breathing is different than usual,sad,,,,,
A,negative,Disaster,Your classmates are surprised by your project,sad,,,,,
A,benign,Success,Your classmates are surprised by your project,sad,,,,,
A,negative,Bored,Your date has to leave early,sad,,,,,
